scientificName,species,order,NAME_0,NAME_1,TYPE_1,ENGTYPE_1,DEP_ID,year,basisOfRecord,elevation,regbio,longitude,latitude,region
"Myotis nigricans (Schinz, 1821)",Myotis nigricans,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,181,28,-71.566833,6.222533,3
"Myotis riparius Handley, 1960",Myotis riparius,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.603833,6.198953,3
"Myotis riparius Handley, 1960",Myotis riparius,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2015,Especimen,568,28,-73.391861,4.433944,2
"Noctilio albiventris Desmarest, 1818",Noctilio albiventris,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,128,28,-70.9889,6.807528,3
"Peropteryx macrotis (Wagner, 1843)",Peropteryx macrotis,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1996,Especimen,818,28,-73.84555,3.8368,3
"Phylloderma stenops Peters, 1865",Phylloderma stenops,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,293,28,-71.76725,6.277056,3
"Phyllostomus discolor Wagner, 1843",Phyllostomus discolor,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2015,Especimen,568,28,-73.391861,4.433944,2
"Phyllostomus elongatus (E.Geoffroy, 1810)",Phyllostomus elongatus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,178,28,-71.565367,6.216419,3
"Phyllostomus hastatus (Pallas, 1767)",Phyllostomus hastatus,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2015,Especimen,568,28,-73.391861,4.433944,2
"Phyllostomus hastatus (Pallas, 1767)",Phyllostomus hastatus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,181,28,-71.566833,6.222533,3
"Platyrrhinus albericoi Velazco, 2005",Platyrrhinus albericoi,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
